Body_style,City,Class,Color,Fuel,Km,Link,Make,Model,Price,Title,Transmission,Used_since
,Gharbia,,Black,gas,"152,000 Km",https://eg.hatla2ee.com/en/car/renault/logan/7004978,Renault,Logan,280000,Used Renault Logan 2012 for sale Gharbia,automatic,2012
Sedan,Cairo,,Blue,gas,"257,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7004904,Chevrolet,Optra,470000,Used Chevrolet Optra 2016 for sale Cairo,automatic,2016
,Shibin el Kom,,White,gas,"121,000 Km",https://eg.hatla2ee.com/en/car/kia/K3/7004784,Kia,K3,900000,Used Kia K3 2013 for sale Shibin el Kom,automatic,2013
Sedan,6 October,,Cyan,gas,"218,000 Km",https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/7004685,Skoda,Octavia A4,430000,Used Skoda Octavia A4 2007 for sale 6 October,manual,2007
Sedan,Hadayek October,,Mocha,gas,"214,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7004257,Nissan,Sunny,460000,Used Nissan Sunny 2015 for sale Hadayek October,automatic,2015
,Sharqia,,Blue,gas,"88,000 Km",https://eg.hatla2ee.com/en/car/moris-garage/Rx5/7004529,MG,Rx5,960000,Used MG Rx5 2020 for sale Sharqia,automatic,2020
,Obour City,,Dark red,gas,"210,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7004402,Chevrolet,Optra,460000,Used Chevrolet Optra 2018 for sale Obour City,automatic,2018
Hatchback,Cairo,,Cyan,gas,"194,000 Km",https://eg.hatla2ee.com/en/car/fiat/puntu/7004279,Fiat,Punto,275000,Used Fiat Punto 2008 for sale Cairo,manual,2008
Sedan,Cairo,,Black,gas,"180,000 Km",https://eg.hatla2ee.com/en/car/daewoo/lanos-2/7004202,Daewoo,Lanos 2,320000,Used Daewoo Lanos 2 2006 for sale Cairo,manual,2006
Hatchback,Shobra,,Cyan,gas,"221,000 Km",https://eg.hatla2ee.com/en/car/hyundai/matrix/7001600,Hyundai,Matrix,465000,Used Hyundai Matrix 2008 for sale Shobra,automatic,2008
,Cairo,,Black,gas,"111,000 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7004029,Toyota,Corolla,1080000,Used Toyota Corolla 2021 for sale Cairo,automatic,2021
Sedan,Tagamo3 - New Cairo,,Bronze,gas,"202,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7003933,Nissan,Sunny,400000,Used Nissan Sunny 2018 for sale Tagamo3 - New Cairo,automatic,2018
,El Haram,,Dark blue,gas,"8,050 Km",https://eg.hatla2ee.com/en/car/fiat/tipo/7003873,Fiat,Tipo,970000,Used Fiat Tipo 2021 for sale El Haram,automatic,2021
,Dakahlia,,Mocha,gas,"180,000 Km",https://eg.hatla2ee.com/en/car/kia/cerato/7003772,Kia,Cerato,550000,Used Kia Cerato 2011 for sale Dakahlia,automatic,2011
,6 October,,Green,gas,"300,000 Km",https://eg.hatla2ee.com/en/car/kia/pride/7003659,Kia,Pride,170000,Used Kia Pride 2000 for sale 6 October,automatic,2000
,Giza,,Silver,gas,"4,500 Km",https://eg.hatla2ee.com/en/car/hyundai/tucson/7003560,Hyundai,Tucson,2200000,Used Hyundai Tucson 2025 for sale Giza,automatic,2025
Sedan,Mohandessin,,Dark grey,gas,"40,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-CN7/7003499,Hyundai,Elantra CN7,1200000,Used Hyundai Elantra CN7 2022 for sale Mohandessin,automatic,2022
,Sheikh Zayed City,,Dark blue,gas,"60,000 Km",https://eg.hatla2ee.com/en/car/peugeot/3008/7003390,Peugeot,3008,1300000,Used Peugeot 3008 2021 for sale Sheikh Zayed City,automatic,2021
,Alexandria,,Silver,gas,"55,700 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7003296,Chevrolet,Optra,525000,Used Chevrolet Optra 2013 for sale Alexandria,automatic,2013
Sedan,Cairo,,Gold,gas,"280,000 Km",https://eg.hatla2ee.com/en/car/hyundai/verna/7003192,Hyundai,Verna,275000,Used Hyundai Verna 2000 for sale Cairo,automatic,2000
,6 October,,Bronze,gas,"65,000 Km",https://eg.hatla2ee.com/en/car/suzuki/baleno/7003098,Suzuki,Baleno,780000,Used Suzuki Baleno 2021 for sale 6 October,automatic,2021
Sedan,Giza,,Black,gas,"248,000 Km",https://eg.hatla2ee.com/en/car/kia/spectra/7003002,Kia,Spectra,270000,Used Kia Spectra 2001 for sale Giza,automatic,2001
,Damietta,,Gray,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/hyundai/i10/7002927,Hyundai,I10,375000,Used Hyundai I10 2009 for sale Damietta,manual,2009
,Tagamo3 - New Cairo,,Black,gas,10 Km,https://eg.hatla2ee.com/en/car/mercedes/c-180/6994495,Mercedes,C 180,3900000,Used Mercedes C 180 2024 for sale Tagamo3 - New Cairo,automatic,2024
,Cairo,,Silver,gas,"60,000 Km",https://eg.hatla2ee.com/en/car/hyundai/verna/6989592,Hyundai,Verna,800000,Used Hyundai Verna 2018 for sale Cairo,manual,2018
,6 October,,Black,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7002640,Chevrolet,Optra,350000,Used Chevrolet Optra 2009 for sale 6 October,automatic,2009
Sedan,Faiyum,,Silver,gas,"313,000 Km",https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/7002526,Skoda,Octavia A4,310000,Used Skoda Octavia A4 1998 for sale Faiyum,manual,1998
,Monufia,,Black,gas,"200,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/7002437,Mitsubishi,Lancer Puma,400000,Used Mitsubishi Lancer Puma 2007 for sale Monufia,automatic,2007
Sedan,Alexandria,,Red,gas,"160,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6990850,Mitsubishi,Lancer EX Shark,620000,Used Mitsubishi Lancer EX Shark 2015 for sale Alexandria,automatic,2015
,Mansoura,,Black,gas,"213,000 Km",https://eg.hatla2ee.com/en/car/fiat/tipo/6989228,Fiat,Tipo,695000,Used Fiat Tipo 2018 for sale Mansoura,automatic,2018
,Cairo,,Blue,gas,"308,000 Km",https://eg.hatla2ee.com/en/car/renault/logan/7002176,Renault,Logan,300000,Used Renault Logan 2013 for sale Cairo,automatic,2013
,Cairo,,Dark grey,gas,"165,000 Km",https://eg.hatla2ee.com/en/car/chery/Tiggo-7/7002079,Chery,Tiggo 7,745000,Used Chery Tiggo 7 2022 for sale Cairo,automatic,2022
,Sharqia,,Silver,gas,0 Km,https://eg.hatla2ee.com/en/car/jac/s3/7001947,Jac,S3,300000,Used Jac S3 2015 for sale Sharqia,automatic,2015
,Heliopolis,,Black,gas,"120,000 Km",https://eg.hatla2ee.com/en/car/peugeot/301/7001862,Peugeot,301,695000,Used Peugeot 301 2021 for sale Heliopolis,automatic,2021
,Ashmoun,,Silver,gas,"98,000 Km",https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/7001768,Skoda,Octavia A4,340000,Used Skoda Octavia A4 1998 for sale Ashmoun,automatic,1998
,6 October,,White,gas,"180,000 Km",https://eg.hatla2ee.com/en/car/mercedes/cla/7001675,Mercedes,CLA Class                                                                                            || CLA,1500000,Used Mercedes CLA Class 2015 for sale 6 October,automatic,2015
Sedan,Dakahlia,,Silver,gas,"280,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/7001589,Mitsubishi,Lancer Puma,390000,Used Mitsubishi Lancer Puma 2007 for sale Dakahlia,automatic,2007
SUV,Obour City,,Dark blue,gas,"195,000 Km",https://eg.hatla2ee.com/en/car/renault/duster/7001495,Renault,Duster,660000,Used Renault Duster 2018 for sale Obour City,automatic,2018
,Alexandria,,Silver,gas,"79,000 Km",https://eg.hatla2ee.com/en/car/speranza/a113/7001373,Speranza,A113,230000,Used Speranza A113 2013 for sale Alexandria,manual,2013
,Tagamo3 - New Cairo,,Gold,gas,"92,000 Km",https://eg.hatla2ee.com/en/car/kia/picanto/7000913,Kia,Picanto,520000,Used Kia Picanto 2013 for sale Tagamo3 - New Cairo,automatic,2013
,Nasr city,,Silver,gas,"118,000 Km",https://eg.hatla2ee.com/en/car/hyundai/grand-i10/6998929,Hyundai,Grand i10,490000,Used Hyundai Grand i10 2015 for sale Nasr city,automatic,2015
,Nasr city,,Gray,gas,"28,000 Km",https://eg.hatla2ee.com/en/car/opel/corsa/7001039,Opel,Corsa,900000,Used Opel Corsa 2022 for sale Nasr city,automatic,2022
,Heliopolis,,Blue,gas,"97,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7000967,Chevrolet,Optra,620000,Used Chevrolet Optra 2020 for sale Heliopolis,automatic,2020
Sedan,6 October,,Red,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/seat/toledo/7000897,Seat,Toledo,680000,Used Seat Toledo 2016 for sale 6 October,automatic,2016
Sedan,Sharqia,,Champagne,gas,"150,000 Km",https://eg.hatla2ee.com/en/car/hyundai/verna/7000614,Hyundai,Verna,390000,Used Hyundai Verna 2014 for sale Sharqia,manual,2014
,Cairo,,Gray,gas,250 Km,https://eg.hatla2ee.com/en/car/mini/Countryman-S/7000682,Mini,Countryman S,2800000,Used Mini Countryman S 2024 for sale Cairo,automatic,2024
,Cairo,,Gray,gas,"16,000 Km",https://eg.hatla2ee.com/en/car/fiat/puntu/7000574,Fiat,Punto,650000,Used Fiat Punto 2019 for sale Cairo,automatic,2019
Sedan,Zagazig,,Black,gas,"133,000 Km",https://eg.hatla2ee.com/en/car/nissan/sunny/7000478,Nissan,Sunny,470000,Used Nissan Sunny 2011 for sale Zagazig,automatic,2011
Sedan,Heliopolis,,Silver,gas,"140,000 Km",https://eg.hatla2ee.com/en/car/opel/astra/6998127,Opel,Astra,650000,Used Opel Astra 2017 for sale Heliopolis,automatic,2017
,Mokattam,,Blue,gas,"104,000 Km",https://eg.hatla2ee.com/en/car/opel/corsa/7000312,Opel,Corsa,450000,Used Opel Corsa 2014 for sale Mokattam,automatic,2014
